Number	Accession	A's	G's	C's	T's	N's	Length	GC%
87116	CY009605  	290	261	205	244	0	1015	46.6
87117	CY009606  	410	348	255	367	0	1400	43.7
87118	CY009607  	499	403	311	324	0	1559	46.5
87119	CY009608  	278	208	174	201	0	874	44.4
87120	CY009608  	278	208	174	201	0	874	44.4
87121	CY009609  	729	529	415	533	0	2238	42.8
87122	CY009610  	795	517	453	536	0	2334	42.2
87123	CY009610  	795	517	453	536	0	2334	42.2
87124	CY009611  	780	592	418	523	0	2347	43.7
87125	DQ508902  	767	586	419	508	0	2313	44.1
87126	DQ508903  	784	512	453	525	0	2307	42.4
87127	DQ508904  	713	518	403	517	0	2182	42.8
87128	DQ508905  	581	392	311	414	0	1723	41.4
87129	DQ508906  	483	395	302	317	0	1519	46.6
87130	DQ508907  	398	353	249	362	0	1382	44.2
87131	DQ508908  	284	256	205	240	0	1000	46.8
87132	DQ508908  	284	256	205	240	0	1000	46.8
87133	DQ508909  	268	207	174	197	0	859	45.0
87134	DQ508909  	268	207	174	197	0	859	45.0
87135	EU330203  	483	395	304	315	0	1519	46.7
87136	HQ008258  	218	149	138	184	0	699	41.7
87137	HQ008259  	347	226	231	231	0	1050	44.2
87138	M30746    	507	409	318	331	0	1588	46.5
87139	EU100710  	572	391	319	416	0	1723	41.8
87140	EU566999  	460	331	254	368	0	1434	41.4
87141	EU887030  	580	387	314	417	0	1723	41.3
87142	GQ475735  	290	249	205	238	0	997	46.2
87143	GQ475735  	290	249	205	238	0	997	46.2
87144	GQ475890  	582	385	313	418	0	1723	41.1
87145	GQ475891  	461	330	255	367	0	1434	41.4
87146	GQ475892  	290	251	205	238	0	999	46.3
87147	GQ475892  	290	251	205	238	0	999	46.3
87148	EU199272  	570	382	342	407	0	1726	42.6
87149	EU716457  	438	336	271	365	0	1431	43.0
87150	EU716502  	576	376	339	410	0	1726	42.0
87151	GQ475873  	582	384	314	418	0	1723	41.1
87152	GQ475874  	462	329	255	367	0	1434	41.3
87153	GQ475875  	292	249	205	238	0	999	46.1
87154	GQ475875  	292	249	205	238	0	999	46.1
87155	EU199273  	564	371	336	394	0	1689	42.5
87156	EU516105  	574	376	341	410	0	1726	42.2
87157	EU516106  	439	335	271	365	0	1431	43.0
87158	EU716464  	436	337	271	365	1	1431	43.1
87159	EU716505  	575	377	339	410	0	1726	42.1
87160	GQ369914  	277	260	206	239	0	997	47.5
87161	GQ369914  	277	260	206	239	0	997	47.5
87162	GQ385848  	438	334	269	368	1	1431	42.8
87163	GQ385849  	576	376	338	411	0	1726	42.0
87164	GQ895029  	280	259	205	239	0	998	47.2
87165	GQ895029  	280	259	205	239	0	998	47.2
87166	EU716512  	573	373	342	413	0	1726	42.0
87167	EU716521  	438	332	270	368	2	1431	42.7
87168	GQ369915  	273	263	207	239	0	997	47.9
87169	GQ369915  	273	263	207	239	0	997	47.9
87170	GQ475852  	582	383	314	417	2	1723	41.0
87171	GQ475853  	459	331	253	369	1	1434	41.3
87172	GQ475854  	292	249	206	237	0	999	46.2
87173	GQ475854  	292	249	206	237	0	999	46.2
87174	EU716468  	439	333	270	367	1	1431	42.8
87175	EU716469  	576	376	340	409	0	1726	42.1
87176	GQ369916  	277	260	206	239	0	997	47.5
87177	GQ369916  	277	260	206	239	0	997	47.5
87178	GQ385850  	436	336	270	368	0	1431	43.0
87179	GQ385851  	577	375	340	409	0	1726	42.0
87180	GQ895030  	278	261	205	239	0	998	47.4
87181	GQ895030  	278	261	205	239	0	998	47.4
87182	EU716470  	576	376	339	410	0	1726	42.0
87183	EU716506  	438	334	272	365	1	1431	43.0
87184	GQ369917  	277	260	207	238	0	997	47.6
87185	GQ369917  	277	260	207	238	0	997	47.6
87186	GQ475971  	584	382	312	419	1	1723	40.9
87187	GQ475972  	459	332	252	370	0	1434	41.3
87188	GQ475973  	291	250	206	237	0	999	46.3
87189	GQ475973  	291	250	206	237	0	999	46.3
87190	EU716437  	577	375	339	410	0	1726	42.0
87191	EU716503  	436	335	273	365	1	1431	43.1
87192	GQ369918  	277	259	207	239	0	997	47.5
87193	GQ369918  	277	259	207	239	0	997	47.5
87194	GQ338414  	599	379	314	409	0	1726	40.7
87195	GQ338415  	450	330	262	368	0	1431	42.0
87196	EU716453  	575	377	339	410	0	1726	42.1
87197	EU716484  	438	335	270	367	0	1431	42.9
87198	GQ369919  	277	260	207	238	0	997	47.6
87199	GQ369919  	277	260	207	238	0	997	47.6
87200	GQ160603  	495	396	294	312	0	1519	46.1
87201	GQ160604  	273	202	174	214	0	876	43.6
87202	GQ160604  	273	202	174	214	0	876	43.6
87203	GQ160605  	599	379	314	409	0	1726	40.7
87204	GQ232055  	285	254	207	236	0	997	46.9
87205	GQ232055  	285	254	207	236	0	997	46.9
87206	GQ894877  	450	330	262	368	0	1431	42.0
87207	EU779514  	576	376	339	410	0	1726	42.0
87208	EU779515  	440	334	270	366	0	1431	42.8
87209	GQ369920  	275	261	206	239	1	997	47.6
87210	GQ369920  	275	261	206	239	1	997	47.6
87211	GQ200271  	495	396	292	314	0	1519	46.0
87212	GQ200272  	284	255	208	235	0	997	47.1
87213	GQ200272  	284	255	208	235	0	997	47.1
87214	GQ200273  	601	378	314	408	0	1726	40.7
87215	GQ894886  	449	331	263	367	0	1431	42.1
87216	EF473381  	376	241	233	253	0	1119	43.0
87217	EF473499  	353	211	224	234	0	1037	42.6
87218	AF342817  	280	212	179	219	0	903	43.9
87219	AF342817  	280	212	179	219	0	903	43.9
87220	AF342818  	307	254	227	239	0	1042	46.8
87221	AF342818  	307	254	227	239	0	1042	46.8
87222	AF342819  	497	401	290	324	0	1534	45.7
87223	AF342820  	468	348	253	389	0	1479	41.2
87224	AF342821  	381	220	219	244	0	1080	41.3
87225	AF342822  	508	357	302	327	0	1516	44.1
87226	AF342823  	828	532	455	526	0	2375	42.2
87227	AF342824  	553	417	304	326	0	1623	45.1
87228	EF473646  	342	209	221	228	0	1015	43.0
87229	EU779528  	575	376	339	410	1	1726	42.0
87230	EU779529  	437	334	270	367	2	1431	42.8
87231	GQ369921  	277	260	207	238	0	997	47.6
87232	GQ369921  	277	260	207	238	0	997	47.6
87233	GQ232071  	285	254	207	236	0	997	46.9
87234	GQ232071  	285	254	207	236	0	997	46.9
87235	GQ232072  	495	396	294	312	0	1519	46.1
87236	GQ232073  	598	380	314	409	0	1726	40.8
87237	GQ323572  	450	330	262	368	0	1431	42.0
87238	EF473338  	359	233	228	247	0	1083	43.2
87239	EF473388  	349	215	225	231	0	1035	43.1
87240	GQ232034  	495	396	294	312	0	1519	46.1
87241	GQ232035  	599	379	314	409	0	1726	40.7
87242	GQ323548  	450	330	262	368	0	1431	42.0
87243	AF503463  	434	341	272	363	0	1431	43.5
87244	AF503473  	351	222	222	241	0	1051	42.9
87245	AY684125  	357	238	229	251	0	1091	43.4
87246	EU100513  	455	332	252	374	0	1434	41.3
87247	EF473389  	376	241	238	248	0	1119	43.4
87248	FJ549067  	458	333	254	368	0	1434	41.5
87249	FJ549068  	577	387	309	421	4	1723	41.0
87250	GQ475667  	291	250	206	237	0	999	46.3
87251	GQ475667  	291	250	206	237	0	999	46.3
87252	GQ338361  	599	379	314	409	0	1726	40.7
87253	GQ338362  	450	330	262	368	0	1431	42.0
87254	FJ549063  	438	336	271	364	1	1431	43.0
87255	FJ549064  	576	376	338	411	0	1726	42.0
87256	GQ369922  	276	261	207	238	0	997	47.7
87257	GQ369922  	276	261	207	238	0	997	47.7
87258	GQ476111  	582	382	314	419	1	1723	41.0
87259	GQ476112  	462	330	253	368	0	1434	41.3
87260	GQ476113  	292	250	203	239	0	999	46.0
87261	GQ476113  	292	250	203	239	0	999	46.0
87262	GQ476114  	581	384	314	419	0	1723	41.1
87263	GQ476115  	462	330	253	368	0	1434	41.3
87264	GQ476116  	292	250	203	239	0	999	46.0
87265	GQ476116  	292	250	203	239	0	999	46.0
87266	GQ896363  	583	382	314	419	0	1723	41.0
87267	GQ896364  	462	330	253	368	0	1434	41.3
87268	GQ896365  	293	249	203	239	0	999	45.9
87269	GQ896365  	293	249	203	239	0	999	45.9
87270	EF473396  	363	239	230	247	0	1095	43.5
87271	GQ896366  	585	381	314	418	0	1723	40.9
87272	GQ896367  	462	330	254	367	0	1434	41.3
87273	GQ896368  	293	248	205	238	0	999	46.0
87274	GQ896368  	293	248	205	238	0	999	46.0
87275	GQ896376  	584	380	315	418	1	1723	40.9
87276	GQ896377  	461	330	255	367	0	1434	41.4
87277	GQ896378  	292	249	205	238	0	999	46.1
87278	GQ896378  	292	249	205	238	0	999	46.1
87279	EF473347  	374	244	235	250	0	1119	43.4
87280	FJ687031  	583	382	313	418	2	1723	40.9
87281	FJ687032  	460	329	256	367	1	1434	41.4
87282	GQ475672  	292	249	206	237	0	999	46.2
87283	GQ475672  	292	249	206	237	0	999	46.2
87284	EF473357  	373	243	236	251	0	1119	43.4
87285	EF473597  	376	250	241	252	0	1135	43.9
87286	FJ686954  	586	379	314	418	1	1723	40.8
87287	FJ686955  	460	331	254	368	0	1434	41.4
87288	GQ475700  	291	250	206	237	0	999	46.3
87289	GQ475700  	291	250	206	237	0	999	46.3
87290	FJ686928  	575	377	339	410	0	1726	42.1
87291	FJ686929  	437	336	268	367	2	1431	42.8
87292	GQ369923  	280	257	205	240	0	997	47.0
87293	GQ369923  	280	257	205	240	0	997	47.0
87294	EF512563  	452	336	279	381	0	1469	42.5
87295	EU501580  	341	203	219	224	0	1002	42.8
87296	EU100627  	451	335	249	378	0	1434	41.3
87297	EU100681  	344	223	222	239	1	1044	43.2
87298	EF473352  	382	245	240	253	0	1136	43.3
87299	GQ475701  	583	382	314	418	1	1723	41.0
87300	GQ475702  	458	333	253	369	0	1434	41.5
87301	GQ475703  	291	250	205	238	0	999	46.2
87302	GQ475703  	291	250	205	238	0	999	46.2
87303	EF473358  	374	244	233	252	0	1119	43.2
87304	GQ369924  	277	261	206	238	0	997	47.6
87305	GQ369924  	277	261	206	238	0	997	47.6
87306	GQ369925  	436	335	272	366	1	1431	43.0
87307	GQ369926  	578	373	339	410	1	1726	41.9
87308	EU100711  	571	391	320	416	0	1723	41.9
87309	EU199362  	584	371	337	408	1	1726	41.6
87310	GQ369927  	277	261	205	239	0	997	47.5
87311	GQ369927  	277	261	205	239	0	997	47.5
87312	GQ369928  	578	375	339	409	0	1726	42.0
87313	GQ895025  	436	335	271	367	1	1431	43.0
87314	CY016339  	343	225	225	236	0	1044	43.7
87315	EU199295  	565	387	315	401	0	1692	42.1
87316	EU199346  	578	374	342	407	0	1726	42.1
87317	EU199410  	436	336	271	366	1	1431	43.0
87318	EU199345  	573	378	338	411	1	1726	42.1
87319	EU199434  	441	333	273	363	0	1431	43.0
87320	EU516107  	574	376	341	409	1	1726	42.2
87321	EU516108  	438	335	271	366	0	1431	43.0
87322	CY047418  	500	397	290	330	1	1540	45.3
87323	CY047445  	99	98	73	96	0	372	46.7
87324	AF008731  	325	218	217	227	0	1002	44.1
87325	EF473598  	358	236	228	245	1	1084	43.4
87326	EU100550  	440	334	279	365	0	1439	43.2
87327	CY026139  	614	392	317	423	0	1771	40.6
87328	CY026140  	297	255	216	232	0	1015	47.1
87329	CY026140  	297	255	216	232	0	1015	47.1
87330	CY026141  	459	337	248	385	0	1450	40.9
87331	CY026142  	503	403	300	328	0	1556	45.8
87332	CY026143  	267	213	163	218	0	874	43.7
87333	CY026143  	267	213	163	218	0	874	43.7
87334	CY026144  	743	519	391	553	0	2238	41.3
87335	CY026145  	790	511	441	565	0	2340	41.3
87336	CY026145  	790	511	441	565	0	2340	41.3
87337	CY026146  	798	574	406	532	0	2343	42.4
87338	EF473599  	362	240	228	248	0	1094	43.4
87339	EU100551  	440	334	278	366	0	1439	43.2
87340	EF473600  	373	243	233	253	1	1119	43.2
87341	EU516207  	577	374	339	411	0	1726	41.9
87342	EU516225  	439	334	271	365	1	1431	42.9
87343	EU716494  	276	262	205	241	0	999	47.5
87344	EU716494  	276	262	205	241	0	999	47.5
87345	EU566988  	442	331	271	365	1	1431	42.7
87346	EU567008  	576	375	341	409	0	1726	42.1
87347	EU716444  	275	263	206	240	0	999	47.7
87348	EU716444  	275	263	206	240	0	999	47.7
87349	EU566973  	578	372	345	406	0	1726	42.2
87350	EU566994  	437	335	270	367	1	1431	42.9
87351	EU716496  	278	261	205	240	0	999	47.4
87352	EU716496  	278	261	205	240	0	999	47.4
87353	EU566990  	582	384	312	420	0	1723	41.0
87354	EU566996  	462	328	255	368	0	1434	41.3
87355	EU716553  	291	249	206	237	1	999	46.2
87356	EU716553  	291	249	206	237	1	999	46.2
87357	M25934    	795	527	443	576	0	2375	41.4
87358	M63521    	306	256	224	241	0	1042	46.7
87359	M63521    	306	256	224	241	0	1042	46.7
87360	M63755    	515	412	303	335	0	1588	45.7
87361	M80974    	285	210	166	229	0	903	42.2
87362	U47816    	71	51	54	65	0	245	43.6
87363	EU779635  	460	329	255	369	0	1434	41.3
87364	EU851978  	581	385	315	417	0	1723	41.2
87365	GQ475635  	289	250	207	236	0	997	46.5
87366	GQ475635  	289	250	207	236	0	997	46.5
87367	M76610    	515	410	305	335	0	1588	45.7
87368	EU100712  	568	394	324	412	0	1723	42.3
87369	EF473626  	369	246	234	250	1	1116	43.6
87370	EU100653  	438	335	271	366	0	1431	43.0
87371	EU100701  	375	242	236	252	1	1122	43.2
87372	EU100654  	441	332	268	369	0	1431	42.6
87373	EU100670  	378	243	239	254	0	1130	43.3
87374	EU100655  	440	335	270	365	0	1431	42.9
87375	EU100696  	374	246	232	254	0	1122	43.2
87376	EU502602  	339	206	216	226	0	1002	42.8
87377	EU100656  	438	334	272	366	0	1431	43.0
87378	EU100715  	583	372	337	408	1	1726	41.7
87379	EU100623  	441	332	268	369	0	1431	42.6
87380	EU100716  	567	367	328	391	0	1677	42.0
87381	EU199293  	384	267	242	277	0	1187	43.5
87382	EU199395  	452	334	251	376	0	1434	41.4
87383	U53156    	76	49	46	64	0	239	40.4
87384	U53158    	47	52	28	41	0	171	47.6
87385	U53160    	228	149	107	137	0	630	41.2
87386	U53162    	636	385	330	427	0	1804	40.2
87387	U53164    	71	48	40	41	0	203	44.0
87388	U53166    	468	346	253	391	0	1479	41.1
87389	U53168    	305	257	224	241	0	1042	46.8
87390	U53170    	279	216	176	219	0	903	44.0
87391	U53157    	70	41	41	51	0	206	40.4
87392	U53159    	50	53	28	42	0	176	46.8
87393	U53161    	228	148	108	136	1	630	41.2
87394	U53163    	636	385	330	427	0	1804	40.2
87395	U53165    	78	52	43	42	0	219	44.2
87396	U53167    	63	44	44	58	0	212	42.1
87397	U53169    	306	256	223	242	0	1042	46.6
87398	U53171    	282	213	175	220	0	903	43.6
87399	EU199316  	386	271	243	278	0	1195	43.6
87400	EU199394  	455	332	249	377	0	1434	41.1
87401	EF473601  	372	246	236	249	0	1119	43.7
87402	EU199309  	569	394	319	416	0	1723	42.0
87403	EU199392  	455	332	250	376	0	1434	41.2
87404	EU199304  	382	271	241	276	0	1187	43.8
87405	EU199399  	454	333	248	378	0	1434	41.1
87406	EU199319  	384	265	242	275	0	1183	43.5
87407	EU199389  	451	335	249	378	0	1434	41.3
87408	EU199313  	387	271	245	275	0	1195	43.8
87409	EU199382  	453	334	250	376	0	1434	41.3
87410	EU199323  	388	268	244	278	0	1195	43.5
87411	EU199397  	452	334	252	375	0	1434	41.5
87412	EU199327  	545	384	309	396	0	1658	42.4
87413	EF473628  	380	248	242	250	0	1136	43.8
87414	CY051047  	604	382	315	414	0	1740	40.6
87415	CY051048  	284	256	207	236	0	998	47.1
87416	CY051048  	284	256	207	236	0	998	47.1
87417	CY051049  	452	330	262	368	0	1433	41.9
87418	CY051050  	502	402	299	316	0	1541	46.1
87419	CY051051  	272	201	168	209	0	863	43.4
87420	CY051051  	272	201	168	209	0	863	43.4
87421	CY051052  	708	533	425	500	0	2197	44.2
87422	CY051053  	821	520	443	519	0	2336	41.8
87423	CY051054  	771	591	433	498	0	2326	44.7
87424	CY046475  	615	385	319	415	0	1759	40.6
87425	CY046476  	288	255	207	237	0	1002	46.8
87426	CY046476  	288	255	207	237	0	1002	46.8
87427	CY046477  	452	331	262	373	0	1439	41.8
87428	CY046478  	501	402	298	315	0	1538	46.2
87429	CY046479  	271	201	169	209	0	863	43.5
87430	CY046479  	271	201	169	209	0	863	43.5
87431	CY046480  	712	533	427	503	0	2207	44.1
87432	CY046481  	820	519	443	517	0	2332	41.8
87433	CY046482  	771	591	433	498	0	2326	44.7
87434	CY051023  	617	383	319	415	0	1759	40.5
87435	CY051024  	288	255	207	237	0	1002	46.8
87436	CY051024  	288	255	207	237	0	1002	46.8
87437	CY051025  	453	331	263	373	0	1441	41.8
87438	CY051026  	503	402	301	317	0	1545	46.2
87439	CY051027  	271	201	169	209	0	863	43.5
87440	CY051027  	271	201	169	209	0	863	43.5
87441	CY051028  	712	533	427	503	0	2207	44.1
87442	CY051029  	821	520	442	520	0	2336	41.8
87443	CY051030  	771	590	434	498	0	2326	44.7
87444	CY051223  	607	383	316	415	0	1746	40.6
87445	CY051224  	284	255	208	235	0	997	47.1
87446	CY051224  	284	255	208	235	0	997	47.1
87447	CY051225  	451	330	263	373	0	1438	41.8
87448	CY051226  	499	404	297	316	0	1538	46.2
87449	CY051227  	268	200	168	208	0	857	43.6
87450	CY051227  	268	200	168	208	0	857	43.6
87451	CY051228  	708	534	426	501	0	2200	44.3
87452	CY051229  	817	522	442	518	0	2332	41.9
87453	CY051230  	772	590	432	498	0	2325	44.6
87454	CY057390  	618	384	317	415	0	1759	40.4
87455	CY057391  	289	254	208	236	0	1002	46.8
87456	CY057391  	289	254	208	236	0	1002	46.8
87457	CY057392  	454	331	261	374	0	1441	41.7
87458	CY057393  	503	401	301	318	0	1545	46.1
87459	CY057394  	270	202	169	209	0	863	43.6
87460	CY057394  	270	202	169	209	0	863	43.6
87461	CY057395  	712	533	427	503	0	2207	44.1
87462	CY057396  	822	519	444	518	0	2336	41.8
87463	CY057397  	774	588	433	498	0	2326	44.5
87464	CY057950  	616	385	319	414	0	1759	40.6
87465	CY057951  	289	254	209	235	0	1002	46.9
87466	CY057951  	289	254	209	235	0	1002	46.9
87467	CY057952  	453	331	264	372	0	1441	41.9
87468	CY057953  	504	400	301	318	0	1545	46.0
87469	CY057954  	270	202	167	211	0	863	43.4
87470	CY057954  	270	202	167	211	0	863	43.4
87471	CY057955  	711	534	427	503	0	2207	44.2
87472	CY057956  	821	520	443	519	0	2336	41.8
87473	CY057957  	775	587	434	497	0	2326	44.5
87474	CY046667  	616	384	319	415	0	1759	40.5
87475	CY046668  	288	255	207	237	0	1002	46.8
87476	CY046668  	288	255	207	237	0	1002	46.8
87477	CY046669  	453	331	263	373	0	1441	41.8
87478	CY046670  	503	401	301	317	0	1544	46.1
87479	CY046671  	271	201	169	209	0	863	43.5
87480	CY046671  	271	201	169	209	0	863	43.5
87481	CY046672  	712	533	427	503	0	2207	44.1
87482	CY046673  	817	518	440	514	0	2322	41.9
87483	CY046674  	772	589	433	496	0	2323	44.6
87484	CY046739  	616	384	319	415	0	1759	40.5
87485	CY046740  	288	255	207	239	0	1004	46.7
87486	CY046740  	288	255	207	239	0	1004	46.7
87487	CY046741  	453	331	262	374	0	1441	41.8
87488	CY046742  	504	403	301	317	0	1547	46.2
87489	CY046743  	271	201	169	209	0	863	43.5
87490	CY046743  	271	201	169	209	0	863	43.5
87491	CY046744  	710	532	425	499	0	2197	44.2
87492	CY046745  	821	520	443	519	0	2336	41.8
87493	CY046746  	771	591	433	498	0	2326	44.7
87494	CY057662  	617	385	320	412	0	1759	40.7
87495	CY057663  	289	254	208	236	0	1002	46.8
87496	CY057663  	289	254	208	236	0	1002	46.8
87497	CY057664  	455	329	264	372	0	1441	41.8
87498	CY057665  	503	402	302	316	0	1545	46.2
87499	CY057666  	271	202	169	208	0	863	43.6
87500	CY057666  	271	202	169	208	0	863	43.6
87501	CY057667  	715	531	425	504	0	2207	44.0
87502	CY057668  	822	519	444	518	0	2336	41.8
87503	CY057669  	775	588	432	498	0	2326	44.5
87504	CY051063  	617	383	319	415	0	1759	40.5
87505	CY051064  	285	255	207	236	0	998	47.0
87506	CY051064  	285	255	207	236	0	998	47.0
87507	CY051065  	452	330	262	368	0	1433	41.9
87508	CY051066  	502	402	299	316	0	1541	46.1
87509	CY051067  	267	201	168	208	0	857	43.7
87510	CY051067  	267	201	168	208	0	857	43.7
87511	CY051068  	711	533	427	501	0	2204	44.2
87512	CY051069  	821	520	444	518	0	2336	41.9
87513	CY051070  	772	590	433	498	0	2326	44.6
87514	CY050150  	617	387	319	415	0	1763	40.6
87515	CY050151  	292	255	207	237	0	1006	46.6
87516	CY050151  	292	255	207	237	0	1006	46.6
87517	CY050152  	454	331	263	373	0	1442	41.8
87518	CY050153  	509	402	301	318	0	1552	45.9
87519	CY050154  	273	201	169	209	0	865	43.4
87520	CY050154  	273	201	169	209	0	865	43.4
87521	CY050155  	722	534	434	509	0	2231	44.0
87522	CY050156  	820	520	444	517	0	2334	41.9
87523	CY050157  	780	591	434	503	0	2341	44.4
87524	CY051127  	606	383	315	417	0	1746	40.6
87525	CY051128  	285	254	207	236	0	997	46.9
87526	CY051128  	285	254	207	236	0	997	46.9
87527	CY051129  	451	331	263	373	0	1439	41.9
87528	CY051130  	502	403	301	317	0	1545	46.2
87529	CY051131  	267	201	168	208	0	857	43.7
87530	CY051131  	267	201	168	208	0	857	43.7
87531	CY051132  	709	533	425	502	0	2200	44.2
87532	CY051133  	820	519	443	517	0	2332	41.8
87533	CY051134  	771	590	434	497	0	2325	44.7
87534	CY057838  	615	385	322	412	0	1759	40.8
87535	CY057839  	290	253	208	236	0	1002	46.7
87536	CY057839  	290	253	208	236	0	1002	46.7
87537	CY057840  	452	332	265	371	0	1441	42.0
87538	CY057841  	503	402	299	319	0	1545	46.0
87539	CY057842  	271	202	170	207	0	863	43.8
87540	CY057842  	271	202	170	207	0	863	43.8
87541	CY057843  	711	535	426	503	0	2207	44.2
87542	CY057844  	821	520	441	519	0	2334	41.8
87543	CY057845  	775	587	431	500	0	2326	44.4
87544	CY057670  	618	384	320	412	0	1759	40.6
87545	CY057671  	289	254	208	236	0	1002	46.8
87546	CY057671  	289	254	208	236	0	1002	46.8
87547	CY057672  	455	329	265	371	0	1441	41.8
87548	CY057673  	503	402	302	316	0	1545	46.2
87549	CY057674  	271	202	168	209	0	863	43.5
87550	CY057674  	271	202	168	209	0	863	43.5
87551	CY057675  	714	531	427	503	0	2207	44.0
87552	CY057676  	821	520	443	519	0	2336	41.8
87553	CY057677  	775	588	432	498	0	2326	44.5
87554	CY057910  	623	387	320	413	0	1768	40.6
87555	CY057911  	288	254	209	236	0	1002	46.9
87556	CY057911  	288	254	209	236	0	1002	46.9
87557	CY057912  	455	330	263	372	0	1441	41.8
87558	CY057913  	505	400	301	317	0	1545	46.0
87559	CY057914  	271	201	169	209	0	863	43.5
87560	CY057914  	271	201	169	209	0	863	43.5
87561	CY057915  	712	533	426	504	0	2207	44.1
87562	CY057916  	819	522	442	520	0	2336	41.9
87563	CY057917  	770	591	433	499	0	2326	44.7
87564	CY058388  	621	381	319	413	0	1759	40.4
87565	CY058389  	289	254	208	236	0	1002	46.8
87566	CY058389  	289	254	208	236	0	1002	46.8
87567	CY058390  	455	330	264	371	0	1441	41.8
87568	CY058391  	504	401	301	317	0	1545	46.1
87569	CY058392  	270	202	167	211	0	863	43.4
87570	CY058392  	270	202	167	211	0	863	43.4
87571	CY058393  	712	533	426	504	0	2207	44.1
87572	CY058394  	821	520	443	519	0	2336	41.8
87573	CY058395  	774	588	433	498	0	2326	44.5
87574	CY057742  	619	382	320	413	0	1759	40.5
87575	CY057743  	289	254	208	236	0	1002	46.8
87576	CY057743  	289	254	208	236	0	1002	46.8
87577	CY057744  	452	332	265	372	0	1442	42.0
87578	CY057745  	504	401	300	318	0	1545	46.0
87579	CY057746  	270	201	169	210	0	863	43.5
87580	CY057746  	270	201	169	210	0	863	43.5
87581	CY057747  	713	532	426	504	0	2207	44.0
87582	CY057748  	820	520	443	520	0	2336	41.8
87583	CY057749  	775	587	433	498	0	2326	44.5
87584	CY046755  	616	384	319	415	0	1759	40.5
87585	CY046756  	287	256	207	237	0	1002	46.9
87586	CY046756  	287	256	207	237	0	1002	46.9
87587	CY046757  	452	330	262	370	0	1435	41.9
87588	CY046758  	503	402	301	317	0	1545	46.2
87589	CY046759  	271	201	169	209	0	863	43.5
87590	CY046759  	271	201	169	209	0	863	43.5
87591	CY046760  	712	533	428	502	0	2207	44.2
87592	CY046761  	821	520	443	519	0	2336	41.8
87593	CY046762  	771	590	432	500	0	2326	44.6
87594	CY046547  	616	384	319	415	0	1759	40.5
87595	CY046548  	288	255	208	238	0	1004	46.8
87596	CY046548  	288	255	208	238	0	1004	46.8
87597	CY046549  	451	331	263	373	0	1439	41.9
87598	CY046550  	501	402	298	315	0	1538	46.2
87599	CY046551  	273	201	169	209	0	865	43.4
87600	CY046551  	273	201	169	209	0	865	43.4
87601	CY046552  	712	533	427	503	0	2207	44.1
87602	CY046553  	822	520	443	520	0	2338	41.8
87603	CY046554  	771	591	433	498	0	2326	44.7
87604	CY046523  	616	384	318	416	0	1759	40.5
87605	CY046524  	288	255	207	237	0	1002	46.8
87606	CY046524  	288	255	207	237	0	1002	46.8
87607	CY046525  	453	331	263	373	0	1441	41.8
87608	CY046526  	501	403	301	317	0	1544	46.3
87609	CY046527  	269	201	168	209	0	860	43.6
87610	CY046527  	269	201	168	209	0	860	43.6
87611	CY046528  	712	533	426	504	0	2207	44.1
87612	CY046529  	822	520	443	520	0	2338	41.8
87613	CY046530  	771	591	433	497	0	2325	44.7
87614	CY058668  	618	384	320	412	0	1759	40.6
87615	CY058669  	289	254	208	236	0	1002	46.8
87616	CY058669  	289	254	208	236	0	1002	46.8
87617	CY058670  	455	329	264	372	0	1441	41.8
87618	CY058671  	503	402	302	316	0	1545	46.2
87619	CY058672  	271	202	168	209	0	863	43.5
87620	CY058672  	271	202	168	209	0	863	43.5
87621	CY058673  	712	533	427	503	0	2207	44.1
87622	CY058674  	822	519	444	518	0	2336	41.8
87623	CY058675  	774	589	432	498	0	2326	44.5
87624	CY051095  	610	383	317	415	0	1750	40.6
87625	CY051096  	285	254	207	236	0	997	46.9
87626	CY051096  	285	254	207	236	0	997	46.9
87627	CY051097  	453	331	263	373	0	1441	41.8
87628	CY051098  	502	402	300	316	0	1542	46.2
87629	CY051099  	268	201	168	209	0	859	43.6
87630	CY051099  	268	201	168	209	0	859	43.6
87631	CY051100  	711	533	427	501	0	2204	44.2
87632	CY051101  	821	520	441	521	0	2336	41.7
87633	CY051102  	770	590	433	494	0	2320	44.7
87634	CY046803  	615	385	320	415	0	1760	40.6
87635	CY046804  	291	255	207	237	0	1005	46.7
87636	CY046804  	291	255	207	237	0	1005	46.7
87637	CY046805  	452	332	263	373	0	1441	41.9
87638	CY046806  	503	402	301	317	0	1545	46.2
87639	CY046807  	271	201	169	209	0	863	43.5
87640	CY046807  	271	201	169	209	0	863	43.5
87641	CY046808  	714	531	426	504	0	2207	44.0
87642	CY046809  	820	521	443	519	0	2336	41.9
87643	CY046810  	771	591	433	498	0	2326	44.7
87644	CY046555  	601	381	315	414	1	1737	40.7
87645	CY046556  	290	255	207	236	0	1003	46.8
87646	CY046556  	290	255	207	236	0	1003	46.8
87647	CY046557  	451	331	263	373	0	1439	41.9
87648	CY046558  	501	401	298	315	0	1537	46.1
87649	CY046559  	267	201	168	208	0	857	43.7
87650	CY046559  	267	201	168	208	0	857	43.7
87651	CY046560  	709	533	424	502	1	2200	44.1
87652	CY046561  	820	519	443	517	0	2332	41.8
87653	CY046562  	771	591	433	497	0	2325	44.7
87654	CY046851  	614	385	319	416	0	1759	40.6
